geoid,year,measure,value,moe,Unnamed: 0
51760030100,2019,population_density_direct,0.155,,1
51710004800,2019,population_density_direct,0.106,,2
51760020200,2019,population_density_direct,0.187,,3
51770002502,2019,population_density_direct,0.057,,4
51710004200,2019,population_density_direct,0.107,,5
51760030501,2019,population_density_direct,0.091,,6
51760020100,2019,population_density_direct,0.092,,7
51710004100,2019,population_density_direct,0.219,,8
51730810100,2019,population_density_direct,0.018,,9
51700030100,2019,population_density_direct,0.039,,10
51740211800,2019,population_density_direct,0.1,,11
51710003501,2019,population_density_direct,0.099,,12
51003010904,2019,population_density_direct,0.087,,13
51013101704,2019,population_density_direct,0.584,,14
51013101408,2019,population_density_direct,0.789,,15
51760020400,2019,population_density_direct,0.126,,16
51740210500,2019,population_density_direct,0.087,,17
51059451400,2019,population_density_direct,0.266,,18
51760040300,2019,population_density_direct,0.273,,19
51013102701,2019,population_density_direct,0.368,,20
51760060800,2019,population_density_direct,0.022,,21
51590000400,2019,population_density_direct,0.021,,22
51730810600,2019,population_density_direct,0.055,,23
51059451601,2019,population_density_direct,0.253,,24
51730810700,2019,population_density_direct,0.066,,25
51760010300,2019,population_density_direct,0.053,,26
51510201206,2019,population_density_direct,0.324,,27
51013103505,2019,population_density_direct,0.307,,28
51700030600,2019,population_density_direct,0.118,,29
51013103503,2019,population_density_direct,0.924,,30
51760021000,2019,population_density_direct,0.103,,31
51710005100,2019,population_density_direct,0.065,,32
51650011400,2019,population_density_direct,0.061,,33
51087200805,2019,population_density_direct,0.03,,34
51013103602,2019,population_density_direct,0.301,,35
51700030800,2019,population_density_direct,0.043,,36
51760060900,2019,population_density_direct,0.019,,37
51590000500,2019,population_density_direct,0.03,,38
51013101603,2019,population_density_direct,0.353,,39
51760070601,2019,population_density_direct,0.076,,40
51700030400,2019,population_density_direct,0.082,,41
51105950301,2019,population_density_direct,0.004,,42
51740212100,2019,population_density_direct,0.056,,43
51059461902,2019,population_density_direct,0.176,,44
51800065500,2019,population_density_direct,0.06,,45
51710000902,2019,population_density_direct,0.035,,46
51760060700,2019,population_density_direct,0.034,,47
51710002900,2019,population_density_direct,0.09,,48
51800065100,2019,population_density_direct,0.045,,49
51710001300,2019,population_density_direct,0.181,,50
51710002700,2019,population_density_direct,0.125,,51
51680001100,2019,population_density_direct,0.067,,52
51680000600,2019,population_density_direct,0.077,,53
51710004300,2019,population_density_direct,0.112,,54
51041100406,2019,population_density_direct,0.019,,55
51590001000,2019,population_density_direct,0.042,,56
51710005701,2019,population_density_direct,0.096,,57
51041100404,2019,population_density_direct,0.034,,58
51770001000,2019,population_density_direct,0.027,,59
51510201205,2019,population_density_direct,0.324,,60
51595890100,2019,population_density_direct,0.011,,61
51550020100,2019,population_density_direct,0.131,,62
51013101804,2019,population_density_direct,0.732,,63
51710002500,2019,population_density_direct,0.162,,64
51620090200,2019,population_density_direct,0.028,,65
51510200102,2019,population_density_direct,0.178,,66
51121020301,2019,population_density_direct,0.01,,67
51770002600,2019,population_density_direct,0.075,,68
51013102001,2019,population_density_direct,0.584,,69
51510200304,2019,population_density_direct,0.247,,70
51760030200,2019,population_density_direct,0.086,,71
51680000400,2019,population_density_direct,0.039,,72
51510200106,2019,population_density_direct,0.184,,73
51013101705,2019,population_density_direct,0.584,,74
51510200108,2019,population_density_direct,0.289,,75
51810045810,2019,population_density_direct,0.129,,76
51013103300,2019,population_density_direct,0.231,,77
51710004600,2019,population_density_direct,0.072,,78
51770000900,2019,population_density_direct,0.058,,79
51520020201,2019,population_density_direct,0.025,,80
51810040600,2019,population_density_direct,0.089,,81
51700032300,2019,population_density_direct,0.009,,82
51059415401,2019,population_density_direct,0.132,,83
51700032006,2019,population_density_direct,0.099,,84
51710001400,2019,population_density_direct,0.083,,85
51710003400,2019,population_density_direct,0.08,,86
51730810400,2019,population_density_direct,0.052,,87
51680000700,2019,population_density_direct,0.043,,88
51760071004,2019,population_density_direct,0.075,,89
51710001100,2019,population_density_direct,0.144,,90
51013101701,2019,population_density_direct,0.841,,91
51710005901,2019,population_density_direct,0.16,,92
51059450702,2019,population_density_direct,0.169,,93
51680001900,2019,population_density_direct,0.013,,94
51710004400,2019,population_density_direct,0.1,,95
51710005500,2019,population_density_direct,0.057,,96
51059480203,2019,population_density_direct,0.315,,97
51177020313,2019,population_density_direct,0.02,,98
51710004500,2019,population_density_direct,0.085,,99
51510200409,2019,population_density_direct,0.288,,100
51730811200,2019,population_density_direct,0.011,,101
51670820100,2019,population_density_direct,0.044,,102
51013103504,2019,population_density_direct,0.307,,103
51510200109,2019,population_density_direct,0.289,,104
51059480205,2019,population_density_direct,0.068,,105
51013102200,2019,population_density_direct,0.394,,106
51540000202,2019,population_density_direct,0.232,,107
51540000401,2019,population_density_direct,0.113,,108
51680000205,2019,population_density_direct,0.032,,109
51710005800,2019,population_density_direct,0.123,,110
51199050207,2019,population_density_direct,0.134,,111
51760020700,2019,population_density_direct,0.115,,112
51710001600,2019,population_density_direct,0.156,,113
51700032126,2019,population_density_direct,0.067,,114
51740211100,2019,population_density_direct,0.047,,115
51550020910,2019,population_density_direct,0.036,,116
51730811300,2019,population_density_direct,0.042,,117
51153900203,2019,population_density_direct,0.185,,118
51710004002,2019,population_density_direct,0.097,,119
51550020500,2019,population_density_direct,0.017,,120
51059421500,2019,population_density_direct,0.173,,121
51710006400,2019,population_density_direct,0.06,,122
51510201602,2019,population_density_direct,0.317,,123
51700032123,2019,population_density_direct,0.055,,124
51153900602,2019,population_density_direct,0.117,,125
